cofog_level1_code,cofog_level2_code,amount
"01","01.1",203277069
"01","01.2",399224512
"01","01.3",1115346863
"01","01.8",23768652816
"01","01.7",12448941019
"01","01.4",64074760
"02","02.1",2061647718
"03","03.6",4473547820
"04","04.1",317262379
"04","04.2",306322857
"04","04.3",1264995615
"04","04.4",70014770
"05","05.1",142502127
"06","06.1",3629400702
"07","07.1",5531691485
"08","08.1",445749326
"09","09.1",12892330703
"010","010.1",635838529
"010","010.2",1025484134
